species,island,flipper_length_mm,bill_length_mm,bill_depth_mm,body_mass_g,sex
Adelie,Dream,187.0,36.2,17.3,3300.0,FEMALE
Adelie,Dream,208.0,40.8,18.9,4300.0,MALE
Adelie,Dream,190.0,38.1,18.6,3700.0,FEMALE
Adelie,Dream,196.0,40.3,18.5,4350.0,MALE
Adelie,Dream,178.0,33.1,16.1,2900.0,FEMALE
Adelie,Dream,192.0,43.2,18.5,4100.0,MALE
Adelie,Biscoe,192.0,35.0,17.9,3725.0,FEMALE
Adelie,Biscoe,203.0,41.0,20.0,4725.0,MALE
Adelie,Biscoe,183.0,37.7,16.0,3075.0,FEMALE
Adelie,Biscoe,190.0,37.8,20.0,4250.0,MALE
Adelie,Biscoe,193.0,37.9,18.6,2925.0,FEMALE
Adelie,Biscoe,184.0,39.7,18.9,3550.0,MALE
Adelie,Biscoe,199.0,38.6,17.2,3750.0,FEMALE
Adelie,Biscoe,190.0,38.2,20.0,3900.0,MALE
Adelie,Biscoe,181.0,38.1,17.0,3175.0,FEMALE
Adelie,Biscoe,197.0,43.2,19.0,4775.0,MALE
Adelie,Biscoe,198.0,38.1,16.5,3825.0,FEMALE
Adelie,Biscoe,191.0,45.6,20.3,4600.0,MALE
Adelie,Biscoe,193.0,39.7,17.7,3200.0,FEMALE
Adelie,Biscoe,197.0,42.2,19.5,4275.0,MALE
Adelie,Biscoe,191.0,39.6,20.7,3900.0,FEMALE
Adelie,Biscoe,196.0,42.7,18.3,4075.0,MALE
Adelie,Torgersen,188.0,38.6,17.0,2900.0,FEMALE
Adelie,Torgersen,199.0,37.3,20.5,3775.0,MALE
Adelie,Torgersen,189.0,35.7,17.0,3350.0,FEMALE
Adelie,Torgersen,189.0,41.1,18.6,3325.0,MALE
Adelie,Torgersen,187.0,36.2,17.2,3150.0,FEMALE
Adelie,Torgersen,198.0,37.7,19.8,3500.0,MALE
Adelie,Torgersen,176.0,40.2,17.0,3450.0,FEMALE
Adelie,Torgersen,202.0,41.4,18.5,3875.0,MALE
Adelie,Torgersen,186.0,35.2,15.9,3050.0,FEMALE
Adelie,Torgersen,199.0,40.6,19.0,4000.0,MALE
Adelie,Torgersen,191.0,38.8,17.6,3275.0,FEMALE
Adelie,Torgersen,195.0,41.5,18.3,4300.0,MALE
Adelie,Torgersen,191.0,39.0,17.1,3050.0,FEMALE
Adelie,Torgersen,210.0,44.1,18.0,4000.0,MALE
Adelie,Torgersen,190.0,38.5,17.9,3325.0,FEMALE
Adelie,Torgersen,197.0,43.1,19.2,3500.0,MALE
Adelie,Dream,193.0,36.8,18.5,3500.0,FEMALE
Adelie,Dream,199.0,37.5,18.5,4475.0,MALE
Adelie,Dream,187.0,38.1,17.6,3425.0,FEMALE
Adelie,Dream,190.0,41.1,17.5,3900.0,MALE
Adelie,Dream,191.0,35.6,17.5,3175.0,FEMALE
Adelie,Dream,200.0,40.2,20.1,3975.0,MALE
Adelie,Dream,185.0,37.0,16.5,3400.0,FEMALE
Adelie,Dream,193.0,39.7,17.9,4250.0,MALE
Adelie,Dream,193.0,40.2,17.1,3400.0,FEMALE
Adelie,Dream,187.0,40.6,17.2,3475.0,MALE
Adelie,Dream,188.0,32.1,15.5,3050.0,FEMALE
Adelie,Dream,190.0,40.7,17.0,3725.0,MALE
Adelie,Dream,192.0,37.3,16.8,3000.0,FEMALE
Adelie,Dream,185.0,39.0,18.7,3650.0,MALE
Adelie,Dream,190.0,39.2,18.6,4250.0,MALE
Adelie,Dream,184.0,36.6,18.4,3475.0,FEMALE
Adelie,Dream,195.0,36.0,17.8,3450.0,FEMALE
Adelie,Dream,193.0,37.8,18.1,3750.0,MALE
Adelie,Dream,187.0,36.0,17.1,3700.0,FEMALE
Adelie,Dream,201.0,41.5,18.5,4000.0,MALE
Chinstrap,Dream,192.0,46.5,17.9,3500.0,FEMALE
Chinstrap,Dream,196.0,50.0,19.5,3900.0,MALE
Chinstrap,Dream,193.0,51.3,19.2,3650.0,MALE
Chinstrap,Dream,188.0,45.4,18.7,3525.0,FEMALE
Chinstrap,Dream,197.0,52.7,19.8,3725.0,MALE
Chinstrap,Dream,198.0,45.2,17.8,3950.0,FEMALE
Chinstrap,Dream,178.0,46.1,18.2,3250.0,FEMALE
Chinstrap,Dream,197.0,51.3,18.2,3750.0,MALE
Chinstrap,Dream,195.0,46.0,18.9,4150.0,FEMALE
Chinstrap,Dream,198.0,51.3,19.9,3700.0,MALE
Chinstrap,Dream,193.0,46.6,17.8,3800.0,FEMALE
Chinstrap,Dream,194.0,51.7,20.3,3775.0,MALE
Chinstrap,Dream,185.0,47.0,17.3,3700.0,FEMALE
Chinstrap,Dream,201.0,52.0,18.1,4050.0,MALE
Chinstrap,Dream,190.0,45.9,17.1,3575.0,FEMALE
Chinstrap,Dream,201.0,50.5,19.6,4050.0,MALE
Chinstrap,Dream,197.0,50.3,20.0,3300.0,MALE
Chinstrap,Dream,181.0,58.0,17.8,3700.0,FEMALE
Chinstrap,Dream,190.0,46.4,18.6,3450.0,FEMALE
Chinstrap,Dream,195.0,49.2,18.2,4400.0,MALE
Chinstrap,Dream,181.0,42.4,17.3,3600.0,FEMALE
Chinstrap,Dream,191.0,48.5,17.5,3400.0,MALE
Chinstrap,Dream,187.0,43.2,16.6,2900.0,FEMALE
Chinstrap,Dream,193.0,50.6,19.4,3800.0,MALE
Chinstrap,Dream,195.0,46.7,17.9,3300.0,FEMALE
Chinstrap,Dream,197.0,52.0,19.0,4150.0,MALE
Chinstrap,Dream,200.0,50.5,18.4,3400.0,FEMALE
Chinstrap,Dream,200.0,49.5,19.0,3800.0,MALE
Chinstrap,Dream,191.0,46.4,17.8,3700.0,FEMALE
Chinstrap,Dream,205.0,52.8,20.0,4550.0,MALE
Chinstrap,Dream,187.0,40.9,16.6,3200.0,FEMALE
Chinstrap,Dream,201.0,54.2,20.8,4300.0,MALE
Chinstrap,Dream,187.0,42.5,16.7,3350.0,FEMALE
Chinstrap,Dream,203.0,51.0,18.8,4100.0,MALE
Chinstrap,Dream,195.0,49.7,18.6,3600.0,MALE
Chinstrap,Dream,199.0,47.5,16.8,3900.0,FEMALE
Chinstrap,Dream,195.0,47.6,18.3,3850.0,FEMALE
Chinstrap,Dream,210.0,52.0,20.7,4800.0,MALE
Chinstrap,Dream,192.0,46.9,16.6,2700.0,FEMALE
Chinstrap,Dream,205.0,53.5,19.9,4500.0,MALE
Chinstrap,Dream,210.0,49.0,19.5,3950.0,MALE
Chinstrap,Dream,187.0,46.2,17.5,3650.0,FEMALE
Chinstrap,Dream,196.0,50.9,19.1,3550.0,MALE
Chinstrap,Dream,196.0,45.5,17.0,3500.0,FEMALE
Chinstrap,Dream,196.0,50.9,17.9,3675.0,FEMALE
Chinstrap,Dream,201.0,50.8,18.5,4450.0,MALE
Chinstrap,Dream,190.0,50.1,17.9,3400.0,FEMALE
Chinstrap,Dream,212.0,49.0,19.6,4300.0,MALE
Chinstrap,Dream,187.0,51.5,18.7,3250.0,MALE
Chinstrap,Dream,198.0,49.8,17.3,3675.0,FEMALE
Chinstrap,Dream,199.0,48.1,16.4,3325.0,FEMALE
Chinstrap,Dream,201.0,51.4,19.0,3950.0,MALE
Chinstrap,Dream,193.0,45.7,17.3,3600.0,FEMALE
Chinstrap,Dream,203.0,50.7,19.7,4050.0,MALE
Chinstrap,Dream,187.0,42.5,17.3,3350.0,FEMALE
Chinstrap,Dream,197.0,52.2,18.8,3450.0,MALE
Chinstrap,Dream,191.0,45.2,16.6,3250.0,FEMALE
Chinstrap,Dream,203.0,49.3,19.9,4050.0,MALE
Chinstrap,Dream,202.0,50.2,18.8,3800.0,MALE
Chinstrap,Dream,194.0,45.6,19.4,3525.0,FEMALE
Chinstrap,Dream,206.0,51.9,19.5,3950.0,MALE
Chinstrap,Dream,189.0,46.8,16.5,3650.0,FEMALE
Chinstrap,Dream,195.0,45.7,17.0,3650.0,FEMALE
Chinstrap,Dream,207.0,55.8,19.8,4000.0,MALE
Chinstrap,Dream,202.0,43.5,18.1,3400.0,FEMALE
Chinstrap,Dream,193.0,49.6,18.2,3775.0,MALE
Chinstrap,Dream,210.0,50.8,19.0,4100.0,MALE
Chinstrap,Dream,198.0,50.2,18.7,3775.0,FEMALE
Gentoo,Biscoe,211.0,46.1,13.2,4500.0,FEMALE
Gentoo,Biscoe,230.0,50.0,16.3,5700.0,MALE
Gentoo,Biscoe,210.0,48.7,14.1,4450.0,FEMALE
Gentoo,Biscoe,218.0,50.0,15.2,5700.0,MALE
Gentoo,Biscoe,215.0,47.6,14.5,5400.0,MALE
Gentoo,Biscoe,210.0,46.5,13.5,4550.0,FEMALE
Gentoo,Biscoe,211.0,45.4,14.6,4800.0,FEMALE
Gentoo,Biscoe,219.0,46.7,15.3,5200.0,MALE
Gentoo,Biscoe,209.0,43.3,13.4,4400.0,FEMALE
Gentoo,Biscoe,215.0,46.8,15.4,5150.0,MALE
Gentoo,Biscoe,214.0,40.9,13.7,4650.0,FEMALE
Gentoo,Biscoe,216.0,49.0,16.1,5550.0,MALE
Gentoo,Biscoe,214.0,45.5,13.7,4650.0,FEMALE
Gentoo,Biscoe,213.0,48.4,14.6,5850.0,MALE
Gentoo,Biscoe,210.0,45.8,14.6,4200.0,FEMALE
Gentoo,Biscoe,217.0,49.3,15.7,5850.0,MALE
Gentoo,Biscoe,210.0,42.0,13.5,4150.0,FEMALE
Gentoo,Biscoe,221.0,49.2,15.2,6300.0,MALE
Gentoo,Biscoe,209.0,46.2,14.5,4800.0,FEMALE
Gentoo,Biscoe,222.0,48.7,15.1,5350.0,MALE
Gentoo,Biscoe,218.0,50.2,14.3,5700.0,MALE
Gentoo,Biscoe,215.0,45.1,14.5,5000.0,FEMALE
Gentoo,Biscoe,213.0,46.5,14.5,4400.0,FEMALE
Gentoo,Biscoe,215.0,46.3,15.8,5050.0,MALE
Gentoo,Biscoe,215.0,42.9,13.1,5000.0,FEMALE
Gentoo,Biscoe,215.0,46.1,15.1,5100.0,MALE
Gentoo,Biscoe,216.0,44.5,14.3,4100.0,
Gentoo,Biscoe,215.0,47.8,15.0,5650.0,MALE
Gentoo,Biscoe,210.0,48.2,14.3,4600.0,FEMALE
Gentoo,Biscoe,220.0,50.0,15.3,5550.0,MALE
Gentoo,Biscoe,222.0,47.3,15.3,5250.0,MALE
Gentoo,Biscoe,209.0,42.8,14.2,4700.0,FEMALE
Gentoo,Biscoe,207.0,45.1,14.5,5050.0,FEMALE
Gentoo,Biscoe,230.0,59.6,17.0,6050.0,MALE
Gentoo,Biscoe,220.0,49.1,14.8,5150.0,FEMALE
Gentoo,Biscoe,220.0,48.4,16.3,5400.0,MALE
Gentoo,Biscoe,213.0,42.6,13.7,4950.0,FEMALE
Gentoo,Biscoe,219.0,44.4,17.3,5250.0,MALE
Gentoo,Biscoe,208.0,44.0,13.6,4350.0,FEMALE
Gentoo,Biscoe,208.0,48.7,15.7,5350.0,MALE
Gentoo,Biscoe,208.0,42.7,13.7,3950.0,FEMALE
Gentoo,Biscoe,225.0,49.6,16.0,5700.0,MALE
Gentoo,Biscoe,210.0,45.3,13.7,4300.0,FEMALE
Gentoo,Biscoe,216.0,49.6,15.0,4750.0,MALE
Gentoo,Biscoe,222.0,50.5,15.9,5550.0,MALE
Gentoo,Biscoe,217.0,43.6,13.9,4900.0,FEMALE
Gentoo,Biscoe,210.0,45.5,13.9,4200.0,FEMALE
Gentoo,Biscoe,225.0,50.5,15.9,5400.0,MALE
Gentoo,Biscoe,213.0,44.9,13.3,5100.0,FEMALE
Gentoo,Biscoe,215.0,45.2,15.8,5300.0,MALE
Gentoo,Biscoe,210.0,46.6,14.2,4850.0,FEMALE
Gentoo,Biscoe,220.0,48.5,14.1,5300.0,MALE
Gentoo,Biscoe,210.0,45.1,14.4,4400.0,FEMALE
Gentoo,Biscoe,225.0,50.1,15.0,5000.0,MALE
Gentoo,Biscoe,217.0,46.5,14.4,4900.0,FEMALE
Gentoo,Biscoe,220.0,45.0,15.4,5050.0,MALE
Gentoo,Biscoe,208.0,43.8,13.9,4300.0,FEMALE
Gentoo,Biscoe,220.0,45.5,15.0,5000.0,MALE
Gentoo,Biscoe,208.0,43.2,14.5,4450.0,FEMALE
Gentoo,Biscoe,224.0,50.4,15.3,5550.0,MALE
Gentoo,Biscoe,208.0,45.3,13.8,4200.0,FEMALE
Gentoo,Biscoe,221.0,46.2,14.9,5300.0,MALE
Gentoo,Biscoe,214.0,45.7,13.9,4400.0,FEMALE
Gentoo,Biscoe,231.0,54.3,15.7,5650.0,MALE
Gentoo,Biscoe,219.0,45.8,14.2,4700.0,FEMALE
Gentoo,Biscoe,230.0,49.8,16.8,5700.0,MALE
Gentoo,Biscoe,214.0,46.2,14.4,4650.0,
Gentoo,Biscoe,229.0,49.5,16.2,5800.0,MALE
Gentoo,Biscoe,220.0,43.5,14.2,4700.0,FEMALE
Gentoo,Biscoe,223.0,50.7,15.0,5550.0,MALE
Gentoo,Biscoe,216.0,47.7,15.0,4750.0,FEMALE
Gentoo,Biscoe,221.0,46.4,15.6,5000.0,MALE
Gentoo,Biscoe,221.0,48.2,15.6,5100.0,MALE
Gentoo,Biscoe,217.0,46.5,14.8,5200.0,FEMALE
Gentoo,Biscoe,216.0,46.4,15.0,4700.0,FEMALE
Gentoo,Biscoe,230.0,48.6,16.0,5800.0,MALE
Gentoo,Biscoe,209.0,47.5,14.2,4600.0,FEMALE
Gentoo,Biscoe,220.0,51.1,16.3,6000.0,MALE
Gentoo,Biscoe,215.0,45.2,13.8,4750.0,FEMALE
Gentoo,Biscoe,223.0,45.2,16.4,5950.0,MALE
Gentoo,Biscoe,212.0,49.1,14.5,4625.0,FEMALE
Gentoo,Biscoe,221.0,52.5,15.6,5450.0,MALE
Gentoo,Biscoe,212.0,47.4,14.6,4725.0,FEMALE
Gentoo,Biscoe,224.0,50.0,15.9,5350.0,MALE
Gentoo,Biscoe,212.0,44.9,13.8,4750.0,FEMALE
Gentoo,Biscoe,228.0,50.8,17.3,5600.0,MALE
Gentoo,Biscoe,218.0,43.4,14.4,4600.0,FEMALE
Gentoo,Biscoe,218.0,51.3,14.2,5300.0,MALE
Gentoo,Biscoe,212.0,47.5,14.0,4875.0,FEMALE
Gentoo,Biscoe,230.0,52.1,17.0,5550.0,MALE
Gentoo,Biscoe,218.0,47.5,15.0,4950.0,FEMALE
Gentoo,Biscoe,228.0,52.2,17.1,5400.0,MALE
Gentoo,Biscoe,212.0,45.5,14.5,4750.0,FEMALE
Gentoo,Biscoe,224.0,49.5,16.1,5650.0,MALE
Gentoo,Biscoe,214.0,44.5,14.7,4850.0,FEMALE
Gentoo,Biscoe,226.0,50.8,15.7,5200.0,MALE
Gentoo,Biscoe,216.0,49.4,15.8,4925.0,MALE
Gentoo,Biscoe,222.0,46.9,14.6,4875.0,FEMALE
Gentoo,Biscoe,203.0,48.4,14.4,4625.0,FEMALE
Gentoo,Biscoe,225.0,51.1,16.5,5250.0,MALE
Gentoo,Biscoe,219.0,48.5,15.0,4850.0,FEMALE
Gentoo,Biscoe,228.0,55.9,17.0,5600.0,MALE
Gentoo,Biscoe,215.0,47.2,15.5,4975.0,FEMALE
Gentoo,Biscoe,228.0,49.1,15.0,5500.0,MALE
Gentoo,Biscoe,216.0,47.3,13.8,4725.0,
Gentoo,Biscoe,215.0,46.8,16.1,5500.0,MALE
Gentoo,Biscoe,210.0,41.7,14.7,4700.0,FEMALE
Gentoo,Biscoe,219.0,53.4,15.8,5500.0,MALE
Gentoo,Biscoe,208.0,43.3,14.0,4575.0,FEMALE
Gentoo,Biscoe,209.0,48.1,15.1,5500.0,MALE
Gentoo,Biscoe,216.0,50.5,15.2,5000.0,FEMALE
Gentoo,Biscoe,229.0,49.8,15.9,5950.0,MALE
Gentoo,Biscoe,213.0,43.5,15.2,4650.0,FEMALE
Gentoo,Biscoe,230.0,51.5,16.3,5500.0,MALE
Gentoo,Biscoe,217.0,46.2,14.1,4375.0,FEMALE
Gentoo,Biscoe,230.0,55.1,16.0,5850.0,MALE
Gentoo,Biscoe,217.0,44.5,15.7,4875.0,.
Gentoo,Biscoe,222.0,48.8,16.2,6000.0,MALE
Gentoo,Biscoe,214.0,47.2,13.7,4925.0,FEMALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,215.0,46.8,14.3,4850.0,FEMALE
Gentoo,Biscoe,222.0,50.4,15.7,5750.0,MALE
Gentoo,Biscoe,212.0,45.2,14.8,5200.0,FEMALE
Gentoo,Biscoe,213.0,49.9,16.1,5400.0,MALE
